CadastralNumber,10,17,2,20,21,3,33,36,4,43,44,45,46,47,48,49,5,50,56,57,58,59,60,61,7,8,Cost m2,Cost m2 unit,Cost,Cost unit
21:01:030405:1705,3137.45,57.331,1.0,0.0,0.0,3,1982,,,502882,492331.0,102.0,107,111,117,124,30.0,126,11160.0,,,,,,38.0,,32280.39,1002,1068480.91,383
21:01:010108:2550,1277.343,102.84,2.0,0.0,0.0,5,1973,,,502882,492331.0,104.0,107,111,117,124,31.0,126,14624.0,,,,,,38.0,,42853.69,1002,1277039.96,383
21:01:010205:1277,1315.543,120.413,2.0,0.0,0.0,5,2005,,,502882,492331.0,102.0,107,111,117,124,31.0,126,11155.0,,,,,,41.0,,43745.45,1002,5179461.28,383
21:01:010801:1377,3054.712,108.931,2.0,0.0,0.0,5,1998,,,502882,492331.0,102.0,107,111,117,124,33.0,126,10933.0,,,,,,41.0,,30787.71,1002,3294284.97,383
21:01:030405:2120,3441.044,86.619,2.0,0.0,0.0,5,1981,,,502882,492331.0,102.0,107,111,117,124,30.0,126,11111.0,,,,,,38.0,,33031.77,1002,568146.44,383
21:01:010205:1671,1315.543,120.413,1.0,0.0,0.0,3,2004,,,502882,492331.0,103.0,107,111,117,124,31.0,126,11155.0,,,,,,41.0,,43144.16,1002,3473104.88,383
21:01:010504:1803,1053.305,605.268,2.0,0.0,0.0,5,2012,,,502882,492331.0,103.0,107,111,117,124,34.0,126,10924.0,,,,,,41.0,,38178.92,1002,3050495.71,383
21:01:010105:2007,2706.018,42.503,1.0,0.0,0.0,3,1984,,,502882,492331.0,102.0,107,111,117,124,31.0,126,11124.0,,,,,,39.0,,40354.27,1002,2623027.55,383
21:01:010105:4267,2619.958,25.883,2.0,0.0,0.0,5,1984,,,502882,492331.0,102.0,107,111,117,124,31.0,126,14624.0,,,,,,38.0,,46052.27,1002,1579592.86,383
21:01:030109:119,450.972,147.435,2.0,0.0,0.0,5,1970,,,502882,492331.0,104.0,107,111,117,124,37.0,126,10965.0,,,,,,38.0,,24418.08,1002,737426.02,383
